id,first_name,last_name,email,age,gender,state,street_address,postal_code,city,country,latitude,longitude,traffic_source,created_at
43709,Evan,Johnson,evanjohnson@example.org,54,M,Mie,461 Warren Road Apt. 488,513-0836,Suzuka City,Japan,"34,85181443","136,5087133",Search,28.10.2020 10:49:00
72079,Stephanie,Burns,stephanieburns@example.net,46,F,Mie,706 Heidi Port Apt. 238,513-0836,Suzuka City,Japan,"34,85181443","136,5087133",Email,13.03.2022 11:17:00
72599,John,Smith,johnsmith@example.net,22,M,Mie,0154 Jason Expressway Suite 459,513-0836,Suzuka City,Japan,"34,85181443","136,5087133",Search,17.06.2021 07:40:00
4031,Jason,Jones,jasonjones@example.net,55,M,Acre,39805 Frederick Track,69917-400,Rio Branco,Brasil,"-9,945567619","-67,83560991",Search,17.03.2022 11:42:00
5612,James,Rodriguez,jamesrodriguez@example.com,51,M,Acre,814 Elizabeth Fords Apt. 981,69917-400,Rio Branco,Brasil,"-9,945567619","-67,83560991",Search,04.11.2020 07:08:00
9059,Michael,Acosta,michaelacosta@example.org,22,M,Acre,2069 John Forks Apt. 496,69917-400,Rio Branco,Brasil,"-9,945567619","-67,83560991",Organic,22.10.2023 04:56:09
49542,Julie,Brown,juliebrown@example.net,37,F,Acre,030 Omar Park Suite 467,69917-400,Rio Branco,Brasil,"-9,945567619","-67,83560991",Search,04.10.2021 00:26:00
54215,Rachel,Cummings,rachelcummings@example.com,40,F,Acre,4317 Laura Throughway Suite 921,69917-400,Rio Branco,Brasil,"-9,945567619","-67,83560991",Search,12.09.2023 13:41:00
95994,William,Edwards,williamedwards@example.com,31,M,Acre,54663 Lewis View Suite 577,69917-400,Rio Branco,Brasil,"-9,945567619","-67,83560991",Search,04.04.2023 03:00:00
2534,Willie,Salazar,williesalazar@example.net,45,M,Acre,8022 Austin Springs Apt. 387,69940-000,Sena Madureira,Brasil,"-9,857324143","-69,4370574",Email,03.03.2020 06:01:00
17256,Craig,Green,craiggreen@example.com,67,M,Acre,569 Elizabeth Green Apt. 150,69940-000,Sena Madureira,Brasil,"-9,857324143","-69,4370574",Display,01.02.2020 17:50:00
69929,Gregory,Smith,gregorysmith@example.com,18,M,Acre,1252 Jensen Stravenue,69940-000,Sena Madureira,Brasil,"-9,857324143","-69,4370574",Search,24.01.2020 08:44:00
71635,Pamela,Nichols,pamelanichols@example.com,56,F,Acre,9778 Gwendolyn Fork Apt. 738,69940-000,Sena Madureira,Brasil,"-9,857324143","-69,4370574",Search,23.11.2021 06:03:00
71703,Amber,Lynn,amberlynn@example.org,64,F,Acre,639 Grant Ways Suite 615,69940-000,Sena Madureira,Brasil,"-9,857324143","-69,4370574",Search,18.10.2022 15:19:00
77355,Yvette,Bruce,yvettebruce@example.com,44,F,Acre,84902 Johnson Ford Suite 783,69940-000,Sena Madureira,Brasil,"-9,857324143","-69,4370574",Search,25.07.2020 08:21:00
90626,David,Foster,davidfoster@example.net,61,M,Acre,63145 Ashley Pass Apt. 608,69940-000,Sena Madureira,Brasil,"-9,857324143","-69,4370574",Search,10.05.2021 06:51:00
52099,Lori,Garcia,lorigarcia@example.org,15,F,Acre,42316 Smith Vista,69970-000,Tarauacá,Brasil,"-8,325245103","-71,55302951",Organic,21.04.2022 10:49:00
61462,Robert,Oconnor,robertoconnor@example.net,26,M,Acre,6179 Bruce Forges,69970-000,Tarauacá,Brasil,"-8,325245103","-71,55302951",Organic,07.01.2023 03:52:00
